,abc,coi,ifhoos,random
0,1794.0,1818.0,1818.0,
1,1812.0,1818.0,1818.0,
2,1806.0,1818.0,1818.0,
3,1806.0,1818.0,1818.0,
4,1806.0,1818.0,1818.0,
5,1806.0,1818.0,1818.0,
6,1800.0,1818.0,1818.0,
7,1806.0,1818.0,1818.0,
8,1812.0,1818.0,1812.0,
9,1806.0,1818.0,1812.0,
10,1800.0,1818.0,1812.0,
11,1800.0,1818.0,1812.0,
12,1806.0,1818.0,1812.0,
13,1794.0,1818.0,1812.0,
14,1806.0,1818.0,1818.0,
15,1794.0,1818.0,1818.0,
16,1794.0,1818.0,1818.0,
17,1806.0,1818.0,1818.0,
18,1812.0,1818.0,1818.0,
19,1794.0,1818.0,1818.0,
20,1800.0,1818.0,1818.0,
21,1800.0,1818.0,1818.0,
22,1812.0,1818.0,1818.0,
23,1800.0,1818.0,1818.0,
