,random,abc,coi,ifhoos,directqap
0,1422.0,1422.0,1434.0,1422.0,
1,1428.0,1422.0,1434.0,1416.0,
2,1410.0,1416.0,1434.0,1422.0,
3,1416.0,1416.0,1434.0,1428.0,
4,1410.0,1410.0,1434.0,1428.0,
5,1428.0,1416.0,1434.0,1428.0,
6,1410.0,1416.0,1434.0,1422.0,1422.0
7,1410.0,1416.0,1434.0,1422.0,1422.0
8,1422.0,1416.0,1434.0,1428.0,1422.0
9,1428.0,1422.0,1434.0,1434.0,1422.0
10,1416.0,1404.0,1434.0,1428.0,1422.0
11,1422.0,1422.0,1434.0,1428.0,1422.0
12,1416.0,1416.0,1434.0,1416.0,1422.0
13,1422.0,1428.0,1434.0,1422.0,1422.0
