,abc,coi,ifhoos,random,directqap
0,2910.0,3948.0,4044.0,,
1,2820.0,3948.0,4044.0,,
2,2724.0,3948.0,4044.0,,
3,2838.0,3948.0,4044.0,,
4,2730.0,3948.0,4044.0,,
5,3006.0,3948.0,3948.0,,
6,2832.0,3948.0,3948.0,,
7,2832.0,3948.0,3948.0,,
8,2820.0,3948.0,3948.0,,
9,2922.0,3948.0,3948.0,,
10,3012.0,3948.0,3948.0,,
11,2838.0,3948.0,3948.0,,
12,3102.0,3948.0,3948.0,,
13,,,,2826.0,
14,,,,2646.0,
15,,,,3012.0,
16,,,,3012.0,
17,,,,2928.0,
18,,,,3012.0,
19,,,,3108.0,
20,,,,3024.0,
21,,,,2730.0,
22,,,3948.0,3012.0,3924.0
23,,,3948.0,2916.0,3924.0
24,,,3948.0,2730.0,3924.0
