,random,ifhoos,directqap,abc,coi
0,3324.0,4542.0,3900.0,,
1,3420.0,4542.0,3900.0,,
2,3522.0,4542.0,3900.0,,
3,3504.0,4626.0,3900.0,,
4,3516.0,4626.0,3900.0,,
5,3336.0,4626.0,3900.0,,
6,3234.0,4440.0,3900.0,,
7,3162.0,4440.0,3900.0,,
8,3246.0,4440.0,3900.0,,
9,3702.0,4350.0,3900.0,,
10,3234.0,4350.0,3900.0,,
11,3318.0,4350.0,3900.0,,
12,3606.0,4350.0,3900.0,,
13,3330.0,4350.0,3900.0,,
14,3432.0,4350.0,3900.0,,
15,3408.0,4350.0,3900.0,,
16,3432.0,4350.0,3900.0,,
17,3624.0,4350.0,3900.0,,
18,3336.0,4350.0,3900.0,,
19,3336.0,4350.0,3900.0,,
20,3432.0,4350.0,3900.0,,
21,3408.0,4446.0,3900.0,,
22,3606.0,4446.0,3900.0,,
23,3504.0,4446.0,3900.0,,
24,3426.0,4530.0,3900.0,,
25,3426.0,4530.0,3900.0,,
26,3516.0,4530.0,3900.0,,
27,3426.0,4614.0,3900.0,,
28,3420.0,4614.0,3900.0,,
29,3426.0,4614.0,3900.0,,
30,3786.0,4350.0,3900.0,,
31,3504.0,4350.0,3900.0,,
32,3510.0,4350.0,3900.0,,
33,3522.0,4350.0,3900.0,,
34,3324.0,4350.0,3900.0,,
35,3708.0,4350.0,3900.0,,
36,3612.0,4350.0,3900.0,,
37,3510.0,4350.0,3900.0,,
38,3414.0,4350.0,3900.0,,
39,3342.0,4350.0,4194.0,,
40,3612.0,4350.0,4194.0,,
41,3534.0,4350.0,4194.0,,
42,3324.0,4350.0,,,
43,3432.0,4350.0,,,
44,3888.0,3690.0,,3246.0,4524.0
45,3408.0,3798.0,,3318.0,4524.0
46,3426.0,4086.0,,3786.0,4524.0
47,3324.0,4266.0,,3606.0,4524.0
48,3408.0,3798.0,,3324.0,4524.0
49,3318.0,3996.0,,3228.0,4524.0
50,3510.0,3888.0,,3228.0,4524.0
51,3792.0,3786.0,,3510.0,4524.0
52,3516.0,4272.0,,3240.0,4524.0
53,3690.0,3996.0,,3144.0,4524.0
54,3222.0,3708.0,,3510.0,4524.0
55,3594.0,4272.0,,3426.0,4524.0
56,3240.0,4452.0,,3228.0,4524.0
57,3600.0,3546.0,,3144.0,4524.0
58,3336.0,3186.0,,3324.0,4524.0
59,3702.0,4080.0,4194.0,3510.0,4524.0
60,3324.0,3192.0,4194.0,3144.0,4524.0
61,3708.0,3804.0,4194.0,3420.0,4524.0
62,3414.0,3798.0,4194.0,3234.0,4524.0
63,3414.0,3792.0,4194.0,3330.0,4524.0
64,3408.0,4074.0,4194.0,3318.0,4524.0
65,3606.0,3804.0,4194.0,3336.0,4524.0
66,3516.0,3798.0,4194.0,3426.0,4524.0
67,3420.0,4086.0,4194.0,3240.0,4524.0
68,3414.0,3894.0,4194.0,3510.0,4524.0
69,3780.0,3894.0,4194.0,3234.0,4524.0
70,3612.0,3900.0,4194.0,3342.0,4524.0
71,3438.0,3708.0,4524.0,3516.0,4524.0
72,3240.0,4080.0,4248.0,3228.0,4524.0
73,3138.0,4002.0,4194.0,3048.0,4524.0
74,3432.0,,4194.0,3708.0,4524.0
75,3324.0,,4446.0,3414.0,4524.0
76,3330.0,,4536.0,3516.0,4524.0
77,3510.0,,4194.0,3054.0,4524.0
78,3414.0,,4446.0,3426.0,4524.0
79,3336.0,,4536.0,3594.0,4524.0
80,3612.0,3720.0,,3318.0,4524.0
81,3432.0,3810.0,,3714.0,4524.0
82,3612.0,3546.0,,3426.0,4524.0
83,3330.0,3456.0,,,
84,,3894.0,,,
85,,3894.0,,,
86,,3270.0,,,
87,,4452.0,,,
88,,3810.0,,,
89,,,4194.0,,
90,,,4194.0,,
91,,,4194.0,,
92,,,4194.0,,
93,3420.0,3534.0,,,
94,3528.0,3888.0,,,
95,3336.0,3888.0,,,
96,3336.0,3612.0,,,
97,3318.0,4086.0,,,
98,2952.0,3894.0,,,
99,3234.0,4356.0,,,
100,3228.0,4080.0,,,
101,3420.0,4272.0,,,
102,3864.0,4626.0,,,
103,3324.0,3990.0,,,
104,3246.0,4458.0,,,
105,3426.0,4458.0,,,
106,3696.0,4458.0,,,
107,3330.0,3084.0,,,
108,3612.0,3084.0,,,
109,3420.0,3084.0,,,
110,3246.0,3084.0,,,
111,3414.0,3084.0,,,
112,3708.0,3084.0,,,
113,3510.0,3084.0,,,
114,3150.0,3084.0,,,
115,3426.0,3084.0,,,
116,3252.0,4458.0,,,
117,3528.0,4458.0,,,
118,3132.0,4458.0,,,
119,3510.0,3084.0,,,
120,3336.0,3084.0,,,
121,3612.0,3084.0,,,
122,3426.0,4446.0,,,
123,3426.0,4446.0,,,
124,3510.0,4446.0,,,
125,3156.0,3084.0,,,
126,3318.0,3084.0,,,
127,3786.0,3084.0,,,
128,3132.0,3084.0,,3522.0,4350.0
129,3510.0,,3612.0,,
130,3516.0,,3612.0,,
131,3330.0,,3612.0,,
132,3312.0,,3612.0,,
133,3066.0,,3612.0,,
134,,,3612.0,,
135,,,3612.0,,
