,random,abc,coi,ifhoos,directqap
0,14500.0,18166.0,19666.0,16756.0,
1,14708.0,17902.0,19666.0,17804.0,
2,14338.0,18164.0,19666.0,17478.0,
3,14970.0,18136.0,19666.0,17882.0,
4,14454.0,18050.0,19166.0,18696.0,
5,14260.0,18168.0,19166.0,18696.0,
6,13952.0,18124.0,19166.0,18696.0,
7,14310.0,17992.0,19166.0,18926.0,
8,14338.0,18162.0,19166.0,18926.0,
9,13874.0,17968.0,19166.0,18846.0,
10,14260.0,18274.0,19166.0,18322.0,
11,14732.0,17934.0,19166.0,18910.0,
12,14654.0,17798.0,19166.0,18058.0,
13,15092.0,18028.0,19666.0,19328.0,
14,14692.0,17958.0,19166.0,18806.0,
15,15060.0,17986.0,19166.0,17926.0,
16,14930.0,18078.0,19166.0,18696.0,
17,14332.0,17946.0,19166.0,18034.0,
18,14650.0,18454.0,19166.0,17948.0,
19,14532.0,18078.0,19166.0,18452.0,
20,14356.0,18398.0,19166.0,18520.0,
21,14712.0,18066.0,19166.0,18910.0,
22,,,,18910.0,
23,,,,19212.0,
24,,,,19212.0,
25,,,,16860.0,
26,,,,17142.0,
27,,,,17360.0,
28,,,,17644.0,
29,,,,17570.0,
30,,,,15456.0,
31,,,,19632.0,
32,,,,16036.0,
33,,,,16042.0,
34,,,,15208.0,
35,,,,14592.0,
36,,,,15840.0,
37,,,,15678.0,
38,,,,15326.0,
39,,,,15380.0,
40,,,,15176.0,
41,,,,15264.0,
42,,,,15144.0,
43,,,,15956.0,
44,,,,15518.0,
45,,,,15600.0,
46,,,,15444.0,
47,,,,18468.0,
48,,,,16984.0,
49,,,,15952.0,
50,,,,15714.0,
51,14308.0,,,,
52,14350.0,,,,
53,14984.0,,,,
54,14690.0,,,,
55,14564.0,,,,
56,14900.0,,,15240.0,
57,14122.0,,,15146.0,
58,14860.0,,,14726.0,
59,14610.0,,,15238.0,
60,14832.0,,,14920.0,
61,,,,15652.0,
62,,,,14726.0,
63,14378.0,,,,17630.0
64,,,,,17630.0
65,,,,,17544.0
66,,,,,17200.0
67,,,,,14562.0
68,,,,,17966.0
69,,,,,17966.0
70,,,,,17462.0
71,,,,,17462.0
